Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
SENIOR ADMINISTRATIVE ASSISTANT,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$62,604.00 ",
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$48.73 
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,"$62,466.00 ",
PROJECTS ADMINISTRATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$107,340.00 ",
ALDERMANIC AIDE,CITY COUNCIL,P,HOURLY,20,,$25.00 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
LIBRARY ASSOCIATE - HOURLY,CHICAGO PUBLIC LIBRARY,P,HOURLY,20,,$31.35 
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$48.73 
CRIMINAL INTELLIGENCE ANALYST,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$104,376.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$88,770.00 ",
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$104,430.00 ",
SENIOR ADMINISTRATIVE ASSISTANT,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,"$65,640.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$48.73 
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$165,726.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,186.00 ",
ACCOUNTING TECHNICIAN,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,"$55,344.00 ",
GENERAL LABORER - DSS,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$31.06 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,186.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$46.26 
PROJECT COORD,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,"$75,384.00 ",
MACHINIST,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$60.39 
